"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionControl","TowersKilled","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","CCDuration"
"Shubh",2.08,6.4,7.2,8.6,1,2,7,0,0,50,22,5,13,4,5,57,78.33
"xXSmallPenisXx",2.09,6.10,5.30,5.00,10,0,0,0,0,40,10,14,19,6,2,45,27.75
"OpDTichi",3.19,6.60,5.30,10.30,0,5,0,5,0,60,2,18,13,2,2,55,126.60
"Dis Lemon",2.46,4.40,5.70,9.60,4,5,0,0,1,60,0,8,12,1,4,51,154.72
"Hostage Sausage",1.81,6.20,7.00,6.50,0,2,4,4,0,50,0,9,15,1,8,48,96.50
"Dark Wristband",2.68,4.10,5.30,10.10,0,1,1,3,5,40,40,6,18,0,5,48,38.48
"Your True Love",4.77,10.20,3.50,6.50,3,0,4,3,0,80,0,15,18,3,3,58,54.78
"KT Rory",4.18,6.40,3.40,7.80,1,0,2,7,0,60,6,10,21,3,2,58,35.53
"ONE KICK GUY",3.79,3.20,3.90,11.60,5,0,0,0,5,40,27,6,13,1,6,52,47.63
"Good DirecTor",3.11,9.70,5.30,6.80,1,5,3,1,0,40,10,8,16,9,3,64,113.25
"SteinsGatelol",3.00,5.60,5.30,10.30,2,4,0,3,1,60,18,5,16,1,6,54,124.58
"xIMUDIx",2.62,4.70,6.10,11.30,7,2,0,0,1,60,3,13,21,5,4,49,105.00
"Risdom",2.70,9.40,6.10,7.10,0,5,1,4,0,50,3,9,16,3,3,53,129.55
"Lone Assassin",2.28,10.40,8.20,8.30,1,0,1,8,0,90,1,20,20,2,5,49,111.00
"phillip ondeez",1.70,5.60,6.00,4.60,0,7,0,3,0,40,24,10,16,3,2,38,98.85
"ProxyID",1.50,1.50,1.80,1.20,0,1,1,0,0,50,6,1,3,0,1,42,13.93
"unperfected32",2.05,5.20,6.00,7.10,5,5,0,0,0,50,12,12,13,2,3,45,111.73
"Jz52019",4.77,6.90,3.50,9.80,1,4,4,0,1,100,15,10,16,3,6,57,137.23
"FunnyMemesTBHFam",2.65,5.20,4.80,7.50,3,1,2,4,0,30,0,8,10,3,2,51,138.43
"Twist of Fate",2.58,7.20,5.30,6.50,6,0,4,0,0,50,9,17,15,2,3,53,86.90
"UrinatingTurtle",3.68,7.00,3.80,7.00,1,0,0,9,0,60,4,15,22,4,3,54,86.50
"Skankiasaurus",2.85,0.70,4.60,12.40,0,0,0,0,10,40,11,0,16,2,6,56,47.62
"DeathByNinjas",1.99,6.20,8.90,11.50,3,2,1,0,4,50,0,7,16,2,6,48,175.17
"Rauh W Begriff",2.93,7.10,5.80,9.90,0,9,0,1,0,70,7,7,15,0,3,60,106.60
"H8ED Ace",3.28,7.20,5.00,9.20,5,0,4,0,1,70,4,9,16,2,5,55,50.00
"SexyDonnie",1.87,4.60,6.00,6.60,2,2,4,2,0,40,5,21,13,3,3,44,40.13
"PharmerT",2.41,5.80,5.80,8.20,2,3,2,2,1,50,12,8,17,6,2,56,127.93
"DedChixCantSayNo",1.37,4.40,6.30,4.20,5,2,3,0,0,30,1,9,9,1,0,47,80.03
"Greeener",2.45,3.20,5.50,10.30,0,5,0,0,5,30,29,4,13,1,6,51,62.73
"TheB1ackninja",2.64,4.40,3.90,5.90,3,3,2,2,0,50,8,21,19,1,5,46,62.43
"3LChrist",2.42,7.10,5.50,6.20,0,3,1,6,0,70,5,17,17,2,9,55,73.07
"boxlord",5.62,5.40,2.60,9.20,9,0,0,0,1,90,35,27,13,6,4,49,139.43
"6666666666",2.53,3.00,5.10,9.90,0,6,1,1,2,40,12,1,11,2,3,56,141.07
"Omnipotent Lord",3.10,2.90,5.00,12.60,2,0,0,2,6,80,20,8,18,3,10,46,61.18
"Silver Trash Can",2.49,5.00,4.30,5.70,0,0,4,6,0,20,1,5,13,2,0,43,43.52
"MagicJelly",2.08,7.50,5.90,4.80,4,5,0,1,0,60,6,26,11,1,2,45,122.62
"PlzKillADCFirst",4.41,7.20,3.40,7.80,4,0,2,4,0,70,3,13,13,2,6,62,103.63